Position,Rating,Review Title,Role,Pros,Cons
492,4,Awesome workplace environment,Game tester,People are very nice and have very chill attitude.,Not much growth opportunities. Career options are limited unless you want to spend off work time to learn other skills.
493,5,Pros and cons,Programmer,One of the best culture.,Not applicable - No cons
494,4,...,Senior lead,Teams with skills and passion.,More comments will come later.
495,4,I liked,Computer programmer,"Good pay, benefits and awesome projects","bad pay, no benefits and terrible projects"
496,4,Good Environment,Senior ui designer,The company cares for peoples well being and development. I enjoy working for the company and studio.,Pay is not competitive enough to want to stay for much longer
497,4,"Good company, exciting challenges",Ux designer,-People are Amazing - Projects are challenging - life/work balance is good,- Low salary -not enough courage to deliver
498,4,Great place to work,Qa engineer,work life balance fun to work in a gaming comapany,Slow growth for new joiners
499,3,Good Company to Work for on Your Way to a Better Company.,Composer,Good work/life balance. Awesome people. Creatively satisfying work.,Little upward mobility or emphasis on career development. Creative direction was insular and exclusionary. Producers too focused on project deadlines without a real understanding of how to assess the quality of their product.
500,4,Ubisoft,Concept artist,"Good support, management, medical insurance, cool office.","Sometimes boring projects, not very big salary"
501,5,Internship Salary,Internship,"Great culture, great colleagues, great offices, great location, great responsibilities.","None, none, none, none, none."
502,5,Great place to work,Software engineer,Good benefits and decent workload,Lack of communication and visibility
503,4,Good company,Lead ui designer,Good benefits for full time employees,Lack of organisation on certain projects
504,4,Overall good,Art director,"Good work life balance, nice perks",Pay could be more competitive
505,4,Good Company to work,Technical artist,"- good work culture
- salary on time
- career development opportunities",nothing as such as of now.
506,3,growth is slow but there is work life balance.,Senior concept artist,Its a stepping stone to ones art career. After you have experience you can easily maintain work life balance. You have a safety net even if your project is done and move over to others based on the your skillset.,Growth is slow financially since recession is in full swing.
507,4,Pay,Health and wellness coordinator,"- work life balance
- flexibility",- Nothing to add at the moment
508,4,Awesome workplace environment,Game tester,People are very nice and have very chill attitude.,Not much growth opportunities. Career options are limited unless you want to spend off work time to learn other skills.
509,4,...,Senior lead,Teams with skills and passion.,More comments will come later.
510,5,Pros and cons,Programmer,One of the best culture.,Not applicable - No cons
511,4,I liked,Computer programmer,"Good pay, benefits and awesome projects","bad pay, no benefits and terrible projects"
512,4,Good Environment,Senior ui designer,The company cares for peoples well being and development. I enjoy working for the company and studio.,Pay is not competitive enough to want to stay for much longer
513,4,"Good company, exciting challenges",Ux designer,-People are Amazing - Projects are challenging - life/work balance is good,- Low salary -not enough courage to deliver
514,3,Good Company to Work for on Your Way to a Better Company.,Composer,Good work/life balance. Awesome people. Creatively satisfying work.,Little upward mobility or emphasis on career development. Creative direction was insular and exclusionary. Producers too focused on project deadlines without a real understanding of how to assess the quality of their product.
515,4,Great place to work,Qa engineer,"work life balance
fun to work in a gaming comapany",Slow growth for new joiners
516,5,Great,Senior ui artist,"cool people and projects, work life balance","hesitance about innovation, mediocre management"
517,4,Ubisoft,Concept artist,"Good support, management, medical insurance, cool office.","Sometimes boring projects, not very big salary"
518,5,Good company to work,Qa - game tester,Work culture is very good,"Nothing, Everything is good, nothing to worry about."
519,3,Gaming is boring,Game tester,It's good for the gaming freaks,Very low salary for the employees
520,4,Interesting projects,Project coordinator,"- diverse Projects
- Creative environment
- Global Presence","- work-life balance
- compensation"
521,2,Stay away,Anonymous employee,Used to be a great place until current MD Olga joined the studio,Current MD is unprofessional and bullies those who don’t agree with her
522,5,it's okay,Gameplay programmer,great working environment and people,i really don't know but i think salary
523,3,Good company,Hr director,Ubisoft is one of a kind gamedev,There are numerous political issues
524,4,"Friendly place, low compensation, little to no crunch",Assistant technical director,"Very friendly environment and colleagues. Never worked crunch once, even during the closing months of projects. Lots of protections to ensure you're never forced to work overtime. Great parties and employee events. Get to learn French with a private tutor 1:1, on company time. Generous WFH policy, at least in some offices.","It's not really an industry secret at this point that Ubi does not pay well. Annual reviews do not keep pace with inflation at all. If you are technically proficient, you will get leaned on pretty hard. The language. Everyone knows English and can use it well, but if you really want to advance, you need to make an effort to speak French. Have to fight tooth and nail for promotions at times."
525,4,Solid,Software developer,You can work on cool projects and the team is good.,"Low pay, management don't know what they are doing sometimes. You cant make higher management to listen,there mechanisms but they are not working"
526,2,The company has lost its way.,Gameplay programmer,"Some good people and decent productions. Pay is comparable to competition, though slightly behind. Vacation time is fairly standard. Flex days and unlimited sick days are a big plus.","Turnover is getting out of hand. Many seniors have left, remaining seniors are spread too thin. Serial harassers are shuffled around instead of being dealt with. Company will change policy on a whim to suit their narratives. Studio management is showing that when it comes down to it, they will go for bullet points that will please investors in the short term over the well-being of employees every time."
527,4,.,User researcher,Opportunity for work life balance,Low salaries to compare with market
528,4,Good,Anonymous employee,Gaming company is best choice,Need to add high grafics
529,3,A hard truth,Anonymous employee,- some teams are supportive/amazing - individuals are talented & hardworking - creative individuals - can find some supportive managers - average incentive offerings/insurance,"- total lack of respect toward employees from studio/business leaders - embarrassing - salary is not competitive - mentality is that it's a privilege to work here (it's not) - experience is heavily dependent on your team - no longer a flexible remote work situation - stable, for now"
530,4,A lovely Experience,Assistant director of finance,A welcoming environment that can be both informal and friendly and formal and serious,Lower pay than expected for my title
531,5,i am best for over company,Game tester,"Passion for Gaming: If you have a deep love for video games and the gaming industry, Ubisoft provides an opportunity to work in a company that is a major player in the global gaming market. Diverse Portfolio: Ubisoft is known for producing a wide variety of games, from action-adventure and first-person shooters to simulation and strategy games. This diversity can be appealing for individuals with different gaming interests. Global Presence: Ubisoft is a multinational company with offices and studios around the world. Working for a globally recognized company can provide opportunities for international collaboration and exposure.","Working at Ubisoft, like any other large company, can have both positive and negative aspects. It's important to note that individual experiences may vary, and these downsides might not be universally applicable to all employees. As of my last knowledge update in September 2021, here are some potential downsides that have been reported or speculated: Crunch Culture: The video game industry, in general, has faced criticism for a culture of crunch, where employees are expected to work long hours, often leading to burnout. This has been a concern at Ubisoft as well, and the company has faced allegations of a toxic work environment. Work-Life Balance: Related to the crunch culture, maintaining a healthy work-life balance can be challenging in the gaming industry. Long hours and tight deadlines might impact personal time and well-being. Management Issues: Some former employees have reported dissatisfaction with management practices, claiming that decisions and communication within the company could be improved. There have been concerns about transparency and decision-making processes. Stagnation in Creativity: In a large organization like Ubisoft, there might be a perception among some employees that there is less room for individual creativity and innovation. The company's size and structure could potentially stifle the creative process for some. Project Cancellations and Restructuring: The video game industry is known for its project cancellations and restructuring. Employees may find themselves working on a project that gets canceled, leading to uncertainty about their roles and job security. Office Politics: Like any large corporation, Ubisoft may have its share of office politics, which can affect work dynamics and career advancement. Navigating these politics can be challenging for some employees. Salary and Compensation: While this might not be universally applicable, some employees may feel that their compensation doesn't adequately reflect the demands and expectations of their roles, especially considering the competitive nature of the industry. Diversity and Inclusion Concerns: Ubisoft has faced criticism for its handling of diversity and inclusion issues. Allegations of a toxic workplace culture and incidents of harassment have raised concerns about the company's commitment to creating an inclusive environment."
532,1,"good place to ship titles, Pay is horrible, too many managers that do not understand game development",Senior texture artist,"- easy to ship game -easy to move from junior to senior in short period of time, I seen cases of Juniors becoming leads in 2-3 years by getting on the good side of producers/directors etc","Compensation is terrible, You can get promoted easy but the pay will not adjust to what you should be earning for that role"
533,2,Need to be updated - Non inclusive work culture,Anonymous employee,- branding ( but too much bullsh**t) - technical challenges - depending on your team work/life balance - remote work / 5 weeks vacations + 1 week,- low salary grid - lack of good management - some people are here from too long and are valued just by being around or sitting around. Feel like some people are hired to do the work besides others are just here for faking. - lack of transparency & objectivity with the annual review performance system. - you have to fit in their system and don't think outside the box to work peacefully and fit their work place culture.
534,1,Strongly avoid,Product owner,Possibility of remote work within France.,"Huge workload for some people, non-functional team, poor working atmosphere due to dysfunctional management."
535,5,Great company,Senior unity developer,"Best mobile projects on the market.
Strongest teams.","Pretty low salaries.
Long processes."
536,5,I love it,Gameplay programmer,Good environment for growing and very respected as an employee,Working on a big titles may prevent you from touching more systems as the game is huge.
537,5,Great company with great culture,Hr manager,"Great colleagues, good benefits & salary",Nothing to say as everything was great
538,4,Nice place to work,Data engineer,Nice place to work at this office,Not too much to add here
539,5,Lol,Developer/tester,"Friendly
Good lead
Feel encouraged
Lot of fun
Best employer","None 1
None 2
None 4
None 3
None 5"
540,2,Stay away.,Brand manager,Best co-workers and not much else.,"Awful structure, Leadership and HR not nice and only think about their own skin."
541,4,Easy work and low pay,Gaming support agent,Easy work responsibilities and repetitive cases,"Low salary and keeps on changing in terms of processes, policies, and no solid management firmness"
542,5,Programmer,Online programmer,"The company is a well-known and successful game development studio, with many popular franchises such as Assassin's Creed, Far Cry, and Tom Clancy's Rainbow Six. Ubisoft offers a creative and collaborative work environment, with opportunities for employees to work on a variety of projects and to contribute to the development of new ideas. The company has a strong emphasis on diversity and inclusion, with a number of initiatives in place to support and promote diversity in the workplace. Ubisoft offers a range of benefits to employees, including health insurance, retirement savings plans, and paid time off. The company has a number of locations around the world, offering employees the opportunity to work in different countries and cultures.","The company is known for its demanding work schedule, with long hours and tight deadlines common in the game development industry. Some employees have reported issues with management and a lack of communication within the company. The company has faced criticism and controversy over its treatment of employees, particularly with regards to working conditions and crunch time. Some employees may find the pace of work and the constant need to adapt to new technologies and trends to be challenging. The company has a strong emphasis on expanding its business, this may lead to a change in strategies, which may affect the job stability and security of some employees."
543,2,Poor HR and project management,Product marketing manager,Can work for AAA franchises,"Sudden big layoffs, poor internal and HQ communications and organizational structure"
544,4,Nice place to work at,Buyer,"Work-life balance, 6 weeks of holiday.",Work in office 2x per week.
545,1,Very poor leadership,Project manager,It is a good place to start a career. The people are great to work with.,"The leads, lower management and HR team are young and inexperienced. They cannot make their senior people grow and are very bad at making their employees feel valued, which is justified very sadly by the fact that they are « a horizontal company where everyone is equal ». So not a great place for achievers. Plus, the company makes poor decisions that they are not able to justify and do not care about their employees anymore (« if your are not happy, just leave! »). The company has changed a lot in recent years, and not in a good way"
546,3,Stressful and chaotic work environment.,Senior game designer,"Benefits, good projects and opens opportunities outside Ubisoft.",Terrible management and work culture
547,5,Great place to work,Anonymous employee,Real openness to build your career at the studio if showing desire to grow and work hard where you want to be,Lots of people keeping their jobs without necessarily contributing
548,5,work culture,Qa analyst,"friendly environment, best managers, good office space","lower salaries, workload, no good canteen"
549,4,Good company,Anonymous employee,"Good Company culture, good benefits","Salary compensation, less innovation in games"
550,3,Ubisoft Review,Junior game tester,"Good culture, Work life balance is good","Very low salary, no much to learn"
551,4,good work environment but growth opportunity is low,Player support agent,Its a great place to work and companies policy are employee centric. Work environment is cool and relaxed.,There are very few growth opportunities and most of the positions are been filled from outside instead of internally
552,5,Nice company to work,Accounting clerk,"work life balance, 5 weeks vocation",Nice company for growth and development
553,3,Good culture,Quality control,Good culture in the company,"Good culture, but less Pay"
554,2,good for starters but you cant grow,Game tester,"good culture, genz vibes, good for new joiners","no growth, less salary, less promotions"
555,3,Software Tester experience,Software tester,"Gym, comfortable workplace, different advantages",There is a small compensation
556,4,Review,Anonymous employee,Great people and great projects,"Benefits, office and work from home policy"
557,3,Mediocre,Recruiter,If you are passionate about video games.,"Very low pay, not in line at all with the market."
558,3,Good space to work and meaningful work,Technical artist,Always surrounded by great and positive people. Great great work life balance. Meaningful challenges to solve in great projects.,Way below average pay. Upper management is always unable to give a straight answer to simple questions and can come across as condescending.
559,4,"Great Work Life Balance, Mediocre Pay",Senior gameplay programmer,"Ubisoft treats it's employees very well on the whole. I've never seen any requirement to crunch, there are fun events held in the studios and also outside of working hours, and there is a mountain of talented people within the studio who are experts within their field.","Pay is very mediocre, and doesn't increase much with time. If you join on a low salary, you can likely expect it to stagnate for quite a long time. There are people within the studio who are still significantly underpaid, and they are unlikely to be paid their value until they move to another job. There is a bonus scheme, but you'd be very lucky to get anything from it. There is no requirement to crunch, but your workload increases gradually as time goes on and you can't possibly get everything done without working extra hours. There is a large meeting culture at Ubisoft, where meetings seem to be required for every thing, regardless of how large or small."
560,3,Poor management decisions,Anonymous employee,- Salaries are within the average in Montréal. - Flexible start/ending time.,At leat in my team: - Micromanagement. - Ignoring help requests. - Unjustified strikes againts employees. Higher management changed their minds over their written words on work from home allowance back in pandemic. People got green lighted and moved. Now Ubisoft is forcing everyone back at 40% of time at the studio. Natural attrition is their goal as written internally.
561,5,Worthy company to work for my whole life,Engineer,everything is great and care about each other,"not really anything negative, all good"
562,4,Top teams and top missions,Compensation & benefits specialist,Ubisoft DNA is felt throughout your daily missions and teamwork is always with amazing partners. Managers are listenning and encouraging. Top work-life balance.,"Decision-making process can be a little long, and salary could be better."
563,4,Great new studio,Hr director,"Best studio, no drama, and people get along. Probably the best game team I have ever worked with. Interesting games and co-dev's. Brand new studio, with all the bells and whistles.","Salary could be more competitive, but the team pay off is good."
564,4,Junior Game Tester,Junior game tester,Work Life balance is the best u can get as awesome atmosphere,Cheap labors with fancy things in Hand
565,4,Work at ubisoft,Texture artist,Have greate project. No overwork,Bad management. Pay Less money than other companies .
566,4,Nice place,It administrator,Nice environment young and motivated,Unstructured management no clear line between departments
567,3,Good place for building a family. Not for carrer progression,Product manager,Good work live balance Great coworkers,Low Salary Progression and no support to grow your career Company vision unclear
568,4,Good company,R&d engineer,Great work environment with time flexibility.,It's not the best choice for non video game lover
569,2,"Great environment, bad management",Game tester,"Great working environment, team as well.","No transparency
Small salary
Bad management
Weak workstations"
570,5,Amazing experience,Head of ecommerce,great opportunities great team to work with,none none none none none
571,4,Good Company for starters,Qa - game tester,"Management.
Work culture.
Work-Life Balance","Salaries hikes
New opportunities
You might stay on one project for your whole tenure."
572,3,"Old school, political, slow",Product manager,"Interesting creative projects,, Benefits like gym, clinique",Management is slow and disorganized. They dont make strategy or set direction and have teams fight or duplicate effort.
573,5,Review,Player interaction specialist,Work life balance is best,No such thing as cons
574,5,Ok,Anonymous employee,"Good place to start your career in QA learn a few things along the way, then switch to software testing",Not great for your career to stay long term unless you see yourself doing this forever
575,4,First look for the first time,Qa - game tester,Processing is paid at 1.5-2x tariff. There are nice bonuses in the form of merch from partners.,"Gift merch can be of low quality, but if you're a fan of the some franchises, you'll be ok with it."
576,3,Stuck in past,Lead game developer,"The people you work with are great, they have great talent and drive.",The upper management is just bad.
577,1,Mediocre Leadership,Graphic production artist,"You get to work with great, talented, and passionate people.","The company is run by accountants who have no sense of loyalty. People are treated as disposable numbers. The company will only change if it has received bad PR, but even so, their efforts are mere lip service."
578,4,Lead Game Designer,Lead game designer,"- Group & mobility
- Projects
- Quality of life","- Somehow hard to evolve
- Salary increase"
579,4,Ubisoft Montreal Review,Senior software engineer,Allows remote work for the IT department.,The salary is on the lower range.
580,4,Good to get into the industry,Anonymous employee,"Passionate people, fun office culture, work life balance","Bad management, Low pay scale"
581,5,Programmer,Senior generalist programmer,Great location near amazing food.,Work in office 2x per week
582,5,Good place,Senior concept artist,"Great benefits, great coworkers, free breakfast.",No fully remote from other parts of EU or Spain
583,4,Lead Programmer,Lead programmer,"Cool people, great safety, big titles that you get to work on","No bonuses got, many bonuses talked about in interviews. Long wind-up to get cool features. Churn."
584,4,Great place for freshers,Game tester,"Chill environment, amazing work-life balance.",Payscale can be better here
585,4,Really skilled employees,3d environment artist,Colaborating with proffessionals and friendly staff,You will need to expext overtime and crunches.
586,4,Good people here,Project controller,Good people make this company a very nice place to work.,It shares the same ambiguity of any tech company.
587,4,Great enterprise,Coordonnatrice aux resources humaines,Great work/life balance Amazing parties and events 6 weeks holidays Really pleasant office and a sense of belonging,low salaries despite good benefits
588,4,Great!,Functional qa tester,"Fantastic staff, flexibility, good hours",Limited paywise and advancement opportunites are not phenomenal
589,3,"Great talent, not so great management",Game designer,"Diverse, talented teams, working on some of the greatest and biggest brands in the world","Out-of-touch or hands-off management, lots of manpower fluidity, not everyone has a voice despite company policies"
590,4,Opportunities available,Customer support specialist,"Good environment, friendly Career opportunities Worklife balance is good with reasonable shifts and hours","Salary is just ok, not amazing"
591,1,Buyer beware,Project manager,6 weeks vacation to start,"Management and HR is still as corrupt as ever despite all the ""efforts"" made to improve their image publically. Ubisoft still underpays as well and removed the option for remote work."
592,5,Amazing,Game tester,The work environment is the most amazing part of this company. No one will ever force you to work for more than 9 hours. The people and the management are amazing. It's an honour to work with Ubisoft!,"There are no cons here, at least for me!"
593,4,Perfect for those who already have their finances in order,Dev tester,- Great Team Members - Actual Work Life Balance focus at the rank and file level - Work from Home is fairly secure for the current time being - Supposedly good bonuses IF you qualify for them,- Pay feels low even for the games industry - Bonuses aren't likely with the company's current position in the industry
594,3,A start,Ui programmer,"Nice, small team
5 weeks PTO
Unlimited sick days","Lack of control
General image
Questionable leadership"
595,2,Generic,Game tester,"Location, opportunity, teams and growth","Management, absolute criminally low wages"
596,1,Low salary,Production services engineer,Partly good benefits and environment,Low salary for the place
597,3,"Great for starting out, but inhibits long-term career growth",Senior level artist,- good Work/Life Balance - Laid back atmosphere - Lots of vacation time - good people for the most part the company is fantastic for starting you career. you get exposed to decent quality IPs and gain valuable development experience. It can be a career killer IF you stay too long.,"- Uncompetitive salaries way below market value, weak annual pay increases. Laughable bonuses if you get one at all - Inflexible and rigid division of art duties between disciplines. Environment Art positions are split up into Modeling/Texturing/Level Art and you rarely get the chance to do more than one of these. As a result, high risk of unlearning skills you've spent years developing. - Unwillingness to try new approaches to development. You will do things the way Ubisoft has done things for decades. - Tendency to put people into Lead positions that have no people skills (and keep them there despite many complaints) - Lots of company politics and favouritism and people with ego problems. - High risk of getting pigeonholed into doing the same thing for a very long time - Frustrating and opaque career growth opportunities. They dangle the carrot of promotion in front of you but make it impossible to achieve. You will get a performance review that says ""Do more of X to get a promotion"", then they will make sure you don't get to work on X in order to deny you the promotion a year later. Many unnecessary hurdles like this are put in front of people for no reason"
598,5,Junior Programmer,Junior programmer,"- good Team
- good atmosphere
- Possibility to do full no/hybrid/full Work from Home",- Salary too low for juniors
599,3,"Big name, high profile projects, below average pay, subpar management",Senior graphics programmer,"Great people, fun, smart, interesting and most coworkers are driven and qualified Serious projects, take as much responsibility as you can handle Everybody's willing to share knowledge At least in the olden days, you'd learn a lot from the best in the industry Stable, you won't be made redundant","Bad pay in comparison to even the local market Have to fight for promotions Questionable management at the upper end Most of best talent never stays for long Company is in denial of bleeding the best people, doesn't want to fix the problem"
600,2,Good Work Life Balance but Poor management and Culture,Associate producer,"People are amazing except a couple of managers who shouldn’t be in that position at all, no overtime or crunch time and good work life balance / flexibility","Lowest salary on the market, nepotism and lack of transparency on promotion, position requirements etc Culture also needs changing"
601,4,Okay,Human resources,"Good vacation, perks, and benefits",Not a lot of room to grow
602,4,Overall good with common nuances,Senior software engineer,Hybrid work (depends on the team). Good work/live balance (depends on the project). Many good professionals (depends on the team).,"Salary on the low end. It is hard to go against the higher ups. Basically - company is not your friend or family, if needed you will be just a cog in the engine."
603,5,Good,.net dev,Nice team to work with,No events in Romania planified
604,5,Good company,Anonymous employee,"Good company, management and RH.",No cons on my point of view
605,3,CEO has fallen to sunken cost fallacy,Online applications specialist,The direct team that you work with is very likely fun to work with.,Upper management is meh at best.
606,5,Best place to work,Gameplay programmer,"Amazing and challenging projects. Very nice people to work with,",Cons are hard to find here.
607,1,love and hate situation,Qc lead,company is good and work culture is great work life balance is good,"management (all) is worst too much office politics HRs are even worst Compensation is very very bad here, dont hope for getting good CTC here, too many freshers, dont hope to learn something new since they lack experienced people on the floor."
608,5,Data engineer,Data engineer,"Good company
Great team
Management is great",Lot of differents teams so hard to get to know everyone
609,5,Great place to work,Sound designer,"Very human, RHs are great!",I can't find any cons right now
610,3,Great company but uncompetitive salary,Anonymous employee,Great benefits and culture overall.,The salary is really not competitive compared to the market standard. And as a result they're failing to maintain the employees.
611,3,Good,Technical artist,Stable and inclusive. Salary is decent.,Not many tech artists. Lack of upskilling opportunities. Promotions are rare unless you know the manager well. Higher leadership do not know their own tools.
612,5,Overall,Senior animator,"Everything is good
Good team, nice projects","Nothing specific to mention
Salary could be better"
613,1,Worst,Junior game tester,If you can scratch your managers back and can sweet talk then you can go to senior most position in no time,Everything from food to promotion everything is worst for working in game testing
614,5,Cool,Software developper,Awesome atmosphere and working conditions.,Can be very busy at times
615,3,Decent working place,Building engineer,I honestly cannot think of any. Other than the brand value of Ubisoft.,Bad Management and low compensation
616,4,Great company for starter job but hard to make a career,It business analyst,Stimulating working environment with a lot of passionate young people Company values celebrating video games and pop culture Great company to make friends,"Low salary, very hard to get raises Very competitive environment, difficult to get promoted"
617,3,Ok place for ok games,Art director,Good care of its employees,Bureaucratic game development. Creative aspects of making games are lacking of ambition
618,4,Good for freshers as you will learn lot of c++ and low level stuff there,Junior programmer,- Great place to start your career. - People are so cool and supportive - Lot of activities happens other than work as well - Lot of c++ and games knowledge you will get,- work life balance sucks sometime during game release - Compensation is very less as compare to industry - low hikes
619,4,Good,Ui artist,"Benefits are good, flexibility is a point too.",Salary is low compared with other companies
620,2,"Good for entry level, don’t stay too long",Manual qa lead/qa,-low entry bar -Good training for absolute beginners,-Pay rates way below the market with no sign of improvements
621,1,Run away,Level artist,Some collegues were fantastic friends but quite honestly. That is all,"- The overly woke approach to everything they touche - The "" diversity "" agenda pushed to the extreme, hiring almost exclusively minorities with very little experience or care for the Craft. - HR department clearly protecting the company over the employees them selves ( not so different from anywhere else to be fair ) - Incredibly Low Pay compared to the rest of the industry, and they are incredibly stingy with salary increases or promtions... Unless you are of a certain gender and with a certain skin color. -Complete disrespect of the source material created by talented past team. - Constant mandatory courses about diversity or other politicaly correct ideologies that employees have to follow ( I thought I was paid to develop games, not to feel like I'm at a school somehow ) - Constant Drama. Over the 3 years I stayed there, I lost count of the amount of assenine complaints created by the same people around the same subjects and the managers were feeding into it somehow. - Management is clueless. We lacked seniors in our team, and they kep alienating those same seniores to the profit of the well being of juniors. Obviously the majority of our Seniors Left which to this day I belive was the objective all along. Replace the expensive workforce, for a less expensive albeit less qualfied one, to work on less ambitious projects."
622,3,Nice company,Consultant/chef de projet informatique,"Globally nice place to work Support functions as finance HQ to avoid, lot of turn over and changes in the team, the management is not at all employees' oriented",OK for junior/ mid level profiles
623,5,Good,Qa lead,Safety Diversity Culture Clean Games,Salary is lower than other
624,4,"Achieved my goal, but left due to poor management",Community manager,Good starting place for those coming into the industry and see what it is you'd like to do moving forward,"A lot of the management that I'd dote on have left due to constant company re-orgs. The upper management constantly shifted people around which lead to loss in brand knowledge. We had to beg as a collective for salary increases that met inflation, and then were only given a 3% bump. After that, 10 CM's quit in a month."
625,4,Best experience,3d artist,They care for their employees,Workload is sometimes not manageable.
626,1,Toxic Environment // Politics within Work.,Account support,"If you have been playing Ubisoft Games, and loved it then you are pretty well aware that it is one of your dreams to work for this company. That dream would surely come true. Apart from that everything is downhill.","Everything. You need to back and forth try to impress your TL/Manager with quick weekend parties, smoke joints, be drunk, and make sure you are always there and saying ""Yes"" to whatever their demand is because that matters the most and your hard work and dedication and enthusiasm all these things won't come handy, please keep that aside while working here."
627,5,great,Crm strategy analyst,"loved ubisoft, had my first internship there and went back for a year before my masters",none that i can think of
628,2,Meh,Computer programmer,Atmosphere is great unless you have micromanaging managers,"Paycheck is low, You stagnate after a while"
629,4,Nice org for gamers,Test engineer,*Good work culture *Nice team bonding activities *Good and cheap food in cafeteria,*Less salary *Less hike *Overtimes but we get benefits of it
630,4,Good studio. Hard city,Associate cinematic director,I had a good team that was well supported by the studio because they took the craft seriously.,Cost of living in Toronto is insane. Transit in Toronto is the pits.
631,4,Great place to start your career,Junior game tester,- You'll be taught everything you need at the job & the company gives you more than enough time for that - Company respects your working hours & overtimes and always optional,- Very limited grows opportunities
632,4,Junior Game Tester,Junior game tester,"New things to learn, good environment","Salary, career opportunities, sometimes hike,"
633,5,Great Company,Bi developer,Benefits Atmosphere People Work life balance,Salary are under the market
634,3,c,Character artist,Great team of people to work with,The salary and poor management
635,4,Decent work life balance,Software developer,Work life balance is good,Office politics can be tricky
636,3,Mediocre but relaxed,Associate producer,Good work/life balance Great colleagues,Non-competitive salary compared to similar positions on the field Reactive leadership- it's never proactive it just reacts to (and clumsily so) to developing situations Useless HR - Don't count on them for anything
637,4,Nice,Game tester,Work life balance Less work load,Less salary Office politics No value for job
638,4,Ubisoft Game Tester,Game tester,Friendly work environment and a relaxed atmosphere.,The pay isn't too great
639,3,Meh,Player support agent,"Benefits were okay, I had really good management.",Will lay off with no notice.
640,4,Great place to work at,Product manager,"Great IPs, Amazing and creative people to work and learn from. And a great Management team.",None to be honest. But they could improve on the pay structure.
641,2,It great if you want to learn more about Gaming Industry,Sony compliance specialist,You get to learn more about development pipeline You are more closely involved in production than being just a Game Tester You have contact with complete development team including producer and director of the game You get to learn more about game development for Consoles You learn about Platform and how certifications work,"Salary is way too low compared to work you do Job has responsibilities, you are literally responsible to the game and its certification You have to handle and prioritize the feature based on console requirements and the user base"
642,5,Good,Anonymous employee,Nice people and non toxic environment,Sometimes under pressure with deadlines.
643,2,"Pay is bad, no growth",Programmer,The work is not much hectic,"Really bad pay, low growth opportunities"
644,3,Low salary,Junior 3d artist,Good training into AAA production,"Slow career growth, low pay"
645,5,Work Environment,Junior game tester,Company has friendly work Environment,Salary is comparatively low for Junior Game Tester
646,3,Ups and downs,Lead programmer,Great people and sometimes Interesting projects Annual raise (low),"- You're not able to choose the projects you work on - Toxic management - Producing is in a Do what I say, certainly not what I do."
647,5,Good place to work and develop professionally,Game designer,"Workplace, company culture and values, work/life balance.",Compensation could be higher while the promotion workflow could be a bit more clearer.
648,1,Bad compagny,"3d designer, 3d render artist, 3d visualiser",Any no pros in this compagny,"Bad management, no pros salary"
649,3,"Good work-life balance, weak employee retention",Senior game designer,Good work-life balance Healthy and cheerful work environment Projects are interesting Good producing and project management,"Weak employee retention: it's hard to re-negotiate compensation unless you get offers from rival companies Day-to-day tasks for designers and programmers are not very stimulating: the tech is a mess, it's hard and costly to innovate on existing tech With WFH becoming the norm, compensation is not on par with Europe's industry standards. Foreign studios offer better packages Projects are often rushed / project budgets are heightened last minute before game is post-poned, so it's hard to do clear projections on the game's scope and features Story & Narrative pipelines for story-driven games are poorly handled (mocap, dubbing...) Turn-over is a real issues for 3 main reasons: lack of room for indivual creativity, lack of career opportunities, underwhelming pay"
650,3,OK-ish,Mobile qa engineer,"Ok community , decent perks","You dont really learn allot in QA here , you kidn of stagnate and its hard to get emplyed anyhere else since you dont really know too many tools etc"
651,5,Good,Generalist programmer,6 week vacation is awesome,"none, good place to work"
652,5,Great place to do research!,Anonymous,"You could have free breakfast. Great team, great manager. Free access to the games.",There wasn't much interaction between different groups (teams) of the organization.
653,4,Good place to work,Product designer,Friendly people and exciting work,High turnover rate and trouble retaining talent
654,4,nice,Programmer,cool and famous projects and games,can be better with payment
655,4,good culture,Cyber security analyst,"the colleagues are friendly, and very engaging workplace","management can seem a little bit absent,"
656,5,Good place to grow,Qa software tester,- Excellent work life balance - Good place to grow in IT - Access to a lot of titles - Wonderful environment,The occasional bad decisions form higher management
657,3,Good,Artist,I feel like ubi is one of the most employee centric employers considering the other companies,They are trying to innovate but has a hard time doing it
658,3,Great for those looking to get into the industry,Anonymous employee,My first video game job was at Ubisoft. I was hired for a contract before getting a full-time position. I would recommend Ubi for anyone looking to get into the industry regardless of work experience,"Over my many years at Ubi, there was very little effort made by management to develop my career. Promotions were given for reasons besides competence or professionalism and this was reflected in the quality of leadership. It's a great place tos tart but not a great place to stay."
659,5,Amazing company,Anonymous employee,"The people is super talented and there is a real team spirit, also, they’re so professional",Sometimes is necessary be more organized when you have more products
660,5,Excellent experience,Anonymous employee,Global company with great people,Distributed model can often be confusing to navigate
661,5,Good,Generalist programmer,6 week vacation is awesome,"none, good place to work"
662,5,Great place to do research!,Anonymous,"You could have free breakfast. Great team, great manager. Free access to the games.",There wasn't much interaction between different groups (teams) of the organization.
663,4,Good place to work,Product designer,Friendly people and exciting work,High turnover rate and trouble retaining talent
664,4,nice,Programmer,cool and famous projects and games,can be better with payment
