Position,Rating,Review Title,Role,Pros,Cons
496,2,Do not work here unless you are a geek gamers.,Anonymous employee,"-good discounts on first party products with the exception of hardware -decently large company so you're bound to meet someone you like -expectations are not too high for employee performance, if you are a decently smart person you can pretty much flat by forever and not worry about getting let go(if that is the type of career you want), leading the the number of incompetent employees who have been around for 5-10 years. however this does not take into account the random employee layoffs due to poor Sony (parent organization) performance","-In the marketing organization, hiring is essentially based on your knowledge of the gaming industry, hence I was surrounded by a lot of incompetent colleagues who just know the industry very well. It was ridiculous some of the things I had to teach people who had 5+ years experience. -Management operates in a black box - very little transparency of where the company is headed or what is going on -You are surrounded by a lot of gamer geeks who know little of anything but gaming. Very knowledgeable on the topic but have little knowledge on other topics -Very bureaucratic and slow organization. Lots of work is done just for the sake of doing the work and half the reports and analysis created is not utilized and is truly a waste of time -They try very hard to portray themselves as a fun tech/gaming company, but in reality the organization is structured like a old slow company, it's just that folks will sit and play games so they think it is start-up like -Very slow and hard to get promoted. Lots of the incompetent gamers who have worked very hard to get into this company never leave, hence it's very hard to move up as openings rarely present themselves. This company does nor necessarily promote based on performance. -People seem to get promoted based on amount time in company as opposed to performance. Even someone was performing way beyond expectations won't get a promotion because ""it has only been 2 years since you joined"" -Review process is really a joke - it's literally a check of the box, management is very weak in this department and does not do anything to develop employees -This company lends itself to brown nosing. Sycophants do very well in this company even if their performance is lacking. -Non one in the marketing organization does their own work. They ask certain support/analytics teams and external vendors to essentially do all the heavy lifting and just package everything and present it to management as their own. -Pay is okay at entry level - because you start as hourly - this makes your salary pretty competitive, but once promoted, your salary will take a hit because you are no longer hourly"
497,3,Department Assistant,Department assistant,- 1 week off for Xmas & NY @ EOY - Gym free to all F/T employees on new campus - Access to free games - etc...,Can be overworked in order to make ends meet - low base Pay compared to most tech companies in The bay area
498,3,Fun environment but pay has something to be desired,Anonymous employee,Environment is fun even when you're working hard.,Pay is not competitive for the Bay Area. Promotions are hard to come by as the opportunities can be limited in some departments.
499,2,"Poor Middle Management, No Career Advancement",Senior software engineer,Great benefits and salary is reasonable - Bagels and pastries on Friday - smart and reliable engineers - Diverse environment - Sony name reference on resume," middle management micro-managing, some very rude, very impersonal - no work-life balance - Unless you become friend with supervisor, you are stuck - lots of office Politics - Unfair working environment, some slackers"
500,3,"Lots of cool stuff, but mired in bureaucracy",Senior manager,* Company loves innovation * Diverse * Welcoming culture * You get to work on products people get excited about,* Bureaucracy * Innovation gets choked out by process * Spends so much time reinventing itself that it can't execute on the basics * Career success depends on being on being on the right projects more than actual effort
501,4,Mostly a great place to work,Senior software engineer,"Salary, work-life balance, opportunity to grow if you are motivated, PERKS, free stuff, connection to a great product, central location, lots of free food. Ability to work with new technologies if you can prove why its better, not just because its new.","Bad developers are not let go, super-tight development schedule does not leave enough time for proper design, high-turn over of good developers."
502,2,Sr. Data Architect,Principal data scientist,"SNEI, SCEA, and SCEE combined into SIE in 2016 after moving their HQ to San Mateo from Los Angeles in 2014. PSN is so profitable, particularly with PS+ their PSN subscription service, that every action is predicated on how much revenue gets sent back to Japan to invest in retooling SonyMobile and SonyElectronics, both in the toilet for years. On top of this the San Diego computer and warehouse effort is being shut down without anyone there knowing it's happening other than the new Intuit management brought in during 2015. The talent who realized this have all left, or they've gotten rid of their most senior staff by ""abolishing their jobs (code for laying off highly-paid professionals they know will resist their new ""QuickAndDirty"" #FauxAgile approach), and the lower-paid-less-experienced replacements are managing to introduce more outages than fewer. Outages will be the ONLY driver of churn once PS4 and XBox put their proprietary prowess on the cloud , relieving them of a $400 chunk of plastic and iron sitting on your shelf today. When this occurs, PSN's propensity to ""go down"" due to sloppy code, an out of control codebase, multiple copies of their database in multiple locations across the globe, and poor security will eventually tilt in Xbox's failure. Sony's only hope for market dominance will then rely on a monopoly of critical game titles, the lone three of #GTA, FIFASoccer, and WorldOfWarcraft already comprising the lion's share of their total revenue including music-video-game-and-SonyVueTV.! Once a great place to innovate, it's now a great place to go lose your capacity to work anywhere else as old-timey technology like Oracle RDBMS and clones of RDBMS' functioning in under-horsed Hadoop platforms.",inability to move toward higher technology tools trapping professional staff in a cycle of future unemployability.
503,3,Mixed,Anonymous employee,Lots to do. Some great Talent and management is trying to make positive changes to the business. Most of the executive team have been with the company a long time and have industry experience,Old guard management with a couple of exceptions. What changes are being done can be considered questionable. Not many perks. Not much recognition. Slow to make decisions.
504,5,Awesome Place to work,Anonymous employee,"The people you work with are amazing. Innovated, and hardworking. It's casual attire which is awesome! Bonuses are freaking awesome!!!",it can be very hard to move up in the company. You probably stay an individual contributor your whole career. So just be prepared for that.
505,4,Culture is Different at Each Office,Software engineer,"The San Francisco office definitely has a little more of a start-up feel (things are a little more agile), but with a strong financial backing. The politics are not bad, and everyone seems to work well with each other.","However, there are some bureaucracies you have to deal with because Sony is a very big company. Departments which service employess (such as IT help desk and HR) are not very friendly at the SF office."
506,3,Growing company,Senior software engineer,"Relaxed working environment, smart people, good yearly bonus, a fast growing company.",Lags other tech companies in terms of salary. A lot of the upper management came directly from Intuit and feels a bit like they were just handed positions with no regard for their skillsets. A lot of these upper managers lack a good long term vision.
507,5,I love it,Senior manager,"It's really great! Great pay, mostly cool coworkers and direct reports. They work hard to create a really fun culture. I'm managing back end teams right now, so I don't even have regular releases or have to manage in flight pages and teams. I've never been less stressed in my life.","Not alot of opportunity. Seem to be sort of in a career eddy where I don't feel alot of upward momentum, but I'm at peace with that for the moment. Most who are leaving are getting paid elsewhere so there's a little fear of missing out (FOMO)."
508,4,Not bad / getting better,Art director,Lots of passion & enthusiasm. Potentially some great opportunities to work with some really talented people who are trying to create what could be a phenomenal product.,"Disorganization, in fighting and an overall lack of a holistic product vision create a lot of redundancy and waste. Company culture and facilities are lacking and the work life balance need some work."
509,2,"No recognition for performance, lack of support for growth, not a team environment",Anonymous employee,"High Brand, some great people and projects. Product development organization is much better run than the corporate side.","Lack of real vision from executive team. Executives are self serving, afraid of talent. Too many junior employees compared to senior management. Infrastructure and process is lacking."
510,5,Fun and professionally stimulating place to work,Business planning,"People, working conditions, relaxed environment, plenty of excellent people in Senior Management, Playstation makes you feel passionate about the brand",SCEE and SNEE segregation (very distant worlds). No 3rd party games allocation. Questionable pricing strategies.
511,2,Herding Cats,Anonymous employee,"If you're a gamer, tons of free stuff and access to things that are interesting to you. If you're not a gamer... well...","Technology, network and features are so far behind the competition and management can't figure out how to capitalize on a huge PlayStation audience that is willing to pay for quality."
512,3,Great People (for the most part) but the politics are awful,Anonymous employee,"Talented, passionate, driven people FUN atmosphere and culture Awesome content Opportunities to travel internationally","Internal politics, both within a single Sony division and among the sister Sony companies makes everything take forever, contentious, and decisions are made for political expediency vs. what's best. No work life balance to speak of"
513,3,"Great brand to work for, poorly managed",Anonymous employee,"Relaxed environment - Nice offices, Central location (if you like Central London) - Informal dress code","- Lack of opportunity to grow - Management is very much a 'boys club', with perks or benefits only going to select few usually male employees - Salary is significantly lower than market value - Management concerned with cutting budgets, rather than spending it on their team development, morale and salaries"
514,5,Very happy hear,Senior account manager,"Great work life balance, if you focus on it Mostly amazing, hard working, smart folks A strong focus (the TPR department) on mental health of their workers and external partner happiness Great benefits Strong leadership from the very top, enthusiasm and love for games and for what we do","Slow moving, but that's typical of a large company A few people who are just in it for the paycheck but that is rare"
515,4,Many opportunities for growth,Anonymous employee,Fast pace work environment due to competitive game industry and new technology result in many opportunities for individual and career growth.,HR and other corporate support groups and Sr Mgmt are not as much in line with the game side of the business and seem unable to keep pace with work environment changes and strain to provide proper support.
516,2,Upper management is lacking,Senior manager,Fun and exciting environment. Producing products with end user recognition and appreciation. Hard working and passionate colleagues.,Poor and uncommunicative upper management (director level and above). Slow career progression. Still disconnects and silos between groups in SCEA and with other Sony divisions.
517,4,"Wonderful atmosphere, but management should be more proactive",Manager,"Excellent products, genuine concern, effort and desire to make our products the best in the industry. Lots of opportunity to work with employees at every level. No formality or rigidity, very congenial atmosphere. Many really smart colleagues.","Some members of senior management are entrenched and distracted or otherwise insufficiently responsive to important issues as they arise. Payroll, finance and accounting systems are overly labor-intensive and are highly dysfunctional."
518,4,A Good and Fun Place to Work,Anonymous employee,"Fun industry and the ability to feel a part of the product. Good inter-functional cooperation, for the most part enables one to succeed on projects that require cross-functional participation.","Development costs have dramatically increased, making it ever more difficult to product profitable games which leads to a tendency to make ""safe"" bets (sequels, etc), which takes away some of the fun in creativity."
519,3,"OK, but has many challenges.",Anonymous employee,"It's a good place to work, and has excellent time off policies for that work/life balance. People are usually friendly and tend to help each other when needed. Strong brand name makes me feel proud to be at SCEA.",There's an increasing sense of political warefare. Management always reward their friends and don't appreciate the people underneath them. It can be unfair at times.
520,4,A lot of opportunity for growth,Anonymous employee,"Tons of work perks, great, young people and collaborative atmosphere. Working for SNEI is like working for a start-up company with a backing of a tech giant. Lots of opportunities to grow if you work hard.",Behind in technological innovations. There is a desperate need for different divisions of Sony to work better together for unified user experience and for innovation.
521,5,Great Company - Intern -> Full Time,Software engineer,"Very positive work place with nice and friendly people. Summer intern program is excellent. Learned lot of things from senior engineers and managers, got a chance to work on innovative projects. Exposure to senior members through speaker series. Competitive Salary. Fun events. This is a great place to start your career.",Nothing as of now :)
522,2,Some great people slow moving to catch up,Marketing,"Some groups are full of creative hardworking folks, but it varies from group to group. Overall being part of the video game industry is fun","SIlo'd groups, company is slow to change and share information. A lot of tenured people who are going through the motions, but new people as have a problem adjusting causing strife"
523,4,A good opportunity to be in the video game industry,Anonymous employee,#ERROR!,"- Very big entity with the ""corporate"" and ""bureaucratic"" attributes you might expect - Changes come slowly, if at all - Poor performing staff seem to remain in roles for too long (incl. management)"
524,5,Better than I imagined,Director,"The leaders are loyal, the employees love games and the campus is pretty sweet. Pay is okay, and no stock upside, but a very good base and always a good bonus if you have a good review.","It always feels like the management is a matrix. Decisions are made and then changed because someone has an issue. This slows down a lot of momentum. But the product is hot, so focus on the main business does not typically have issues."
525,4,A Solid Place to Work,Intelligence analyst,"Relaxing, fun atmosphere, with knowledgeable and professional co-workers. Amenities at work are good, and compensation is fair, if not good. The goals we worked toward were worthwhile.","The company doesn't do much to spread the benefits of working for them around. HQ got most of the attention when it came to amenities. Where I worked, on the operations side, there was not a lot of upward mobility. Most employees in my department were hired as contractors, and there seemed to be little consideration for them in the greater corporate plan."
526,4,"Great coworkers and work-life balance, but few opportunities for long-term career growth",Anonymous employee,Relaxed environment with great Work-life balance - Friendly and fun coworkers - fantastic culture - great environment to be in if this is your first corporate job or new to gaming or tech in general,a lot of emphasis on seniority rather than merit during promotions and performance reviews - Favoritism shown by executive management towards certain groups - Difficult to grow career-wise - No attempt to retain top talent--many high-performing employees poached by top companies - Below market pay
527,3,Identity Crisis,Systems administrator,"Free games, swag, and other discounted PS related merch and devices.","Benefits and pay are sub par compared to other Bay Area tech companies. This makes PS talent pool subpar as well. Had to move out because it was a top heavy org, no upward mobility despite high performance."
528,3,Mixed feelings.,Anonymous employee,"Met some great people, learned a lot about the industry. Sony does give decent benefits, also.","No training, difficult management--but in my department specifically, I can't speak for others. The company worked in silos for so long, bridging gaps is sometimes difficult. The open office floor plan is awful for certain groups, and should have been optional."
529,4,Good time there,Anonymous employee,Got a lot of time to play and met really cool people. We were able to play the games earlier than the rest of the word and that was awesome.,Had played that much that my job was not being done hence got fired. The next time i will wait untill i finish my job so i can play
530,3,"Fun, Interesting but Yellow Badge BAD",Associate producer,Projects are really fun and interesting. Co-workers are smart and good fun to be around. My supervisor was hardworking but easy-going and very supportive of the team.,Difficult to navigate politics with a few key people clearly holding the power & protecting themselves/friends--at times to detriment of business. Yellow badges are a nightmare. You have all of the responsibility but none of the protections or dignity of regular employees.
531,3,"Pay is good, culture could be better",Anonymous employee,"The pay and benefits are good. Free games, discounts on other Sony stuff. Good amount of PTO. Coworkers are nice and helpful.",Management does not communicate well. Sometimes unsure of expectations. Not sure of what is important. Supervisor is secretive and sneaky. Not trustworthy or helpful when problems come up.
532,1,Serious managerial issues,Technical architect,It's a gaming company and there are quite a few perks that go with that like relaxed social atmosphere and dress code,Management is very confused and out of touch and manage the company through a series of disparate fiefdoms without aligned goals or a cohesive strategy.
533,4,"Good Company Culture, but...",Principal software engineer,Great company and good culture,"However, there are some really bad managers who makes it deliberately difficult for everyone that are working under them and with them. Some notable mentions are perfeng and cicd team managers, for their awful and confrontational management style."
534,1,Treated like garbage.,Qa professional,It's an easy job. It is considered experience in the video game field. Casual dress.,"This is only as a QA tester. Intimidated into working overtime. It was alluded to that you would lose your job if you opt out (which I did after 6 straight months of doing it). Overtime was, and is common to be 12 hours a day 6 days a week and an 8 hour shift on Sundays. I was diagnosed with carpal tunnel issues in both of my wrists due to this overtime but was still asked to do the overtime as soon as the doctor released me."
535,4,"Fun enviroment, ok management",Senior department assistant,Social dynamic is great. Office atmosphere is casual. Compensation is good. In San Diego location you can bring dogs on campus. The company has a operates like a startup without budget issues.,No direction from uppen management. Very difficult to be promoted within the company. No good direction for improvement. Entry to mid level employees are hardly noticed
536,5,Awesome place to work,Anonymous employee,"The benefits are good. The San Diego campus is easy to get to and in a great location commute-wise. When you speak up, your direct management will listen. Management makes an effort to help push you forward with your own career goals in mind.",Needs more accountability on the individual scale. People hurt productivity by not understanding their own roles better in the development process.
537,4,Great company and workforce - needs better focus on opportunity advancement and resourcing,Senior software development engineer in test (sdet),"Fun things to work on Work/Life Balance Highly skilled individuals Equipment, office, and general community is very strong","Resourcing is always a problem in satellite offices Satellite offices have drastically reduced compensation for similar work Politics Bonus structure used as ""motivation"" to work extra hours"
538,3,Has its highs and lows,Anonymous employee,It's an awesome brand to be a part of. You can find some great people here and have the opportunity to be a part of some very cool projects.,"Career paths and growth potential feel near non-existant, employees feel out of the loop and unfortunately often unappreciated. It does sometimes feel like they depend on the brand name to bring in top-talent, but it doesn't seem that top-talent stay very long. Some departments are in need of a complete overhaul from a talent perspective."
539,4,"Smart people, hard work",Anonymous employee,Benefits are decent and the pay is around or above market value for the area. Most employees are pretty friendly and laid back. Work is interesting and challenging. Management is pretty tech savvy.,Not too much interaction between different teams. Most people don't know what other teams are working on. Management structure is pretty flat so there is little room for career progression.
540,4,Love my job,Anonymous employee,"Fast-paced, works like a startup, working with newest technologies and building a lot of new applications and processes. Open to innovation. Very nice people. Small enough, yet solving big problems. Great product. Pays well",Some political vestiges of old regimes and people not understanding that we need to move forward and quickly. Some silo mentality that blocks quick implementation and execution
541,3,Harboring incompitence,Producer,You don't have to worry about getting fired. They operate like a studio instead of a technology company so it's easy to get up to speed.,Good Ideas never see the light of day and bad Ideas never get killed. Japanese culture instills a process of conscious which is extremely detrimental in a technology company. No one is given decision making power.
542,4,Overall a very good company to work for.,Anonymous employee,"People are friendly, easy going and motivated. I see this when we have people volunteer for a flash mob dance at a recent event and also during a habitat for humanity outside the country. Everyone is also focused on the department goals and work in general.",For my department. No to little upward mobility and one has to check positions from other department although management has implemented some exposure (i.e. shadowing people) to other departments and other positions.
543,1,Worst place to work for. Promote office bullies across the entire sales department.,Anonymous employee,Free coffee and milk. Free food and old games ocassionally.,"Salaries are not competitive, and much lower than other companies in the area. Career advancement is driven by favorism, not ability, performance, or hardwork. Managers and directors abuse their power, bully, and mistreat employees. Their behaviors are unprofessional and immature like high school bulliers than working professionals. People do nothing due to fear for their career. Many support or even copy these behaviors creating toxic work environment across the entire sales department."
544,5,Awesome Place to Work,Anonymous employee,"Always something new and exciting. Opportunity to work with awesome people, work in a true multinational corporation. Opportunity to learn lots of new technologies and work on diverse products. Always popular when find out you work at Playstation. Always learning. Amazing benefits.",With a full multinational company its never truly asleep to learning to adapt to an environment that follows the sun takes time. Sometimes takes a bit longer to reach consensus .
545,4,Decent company with fun end products,Manager,"Benefits are good, and some of the people are great.","Employee experience will differ greatly between work units. Company as a whole does not function as a single unit, but rather many different companies with no real common goal or direction. Most support groups have the sell their services to internal groups. Egos run big in this company. Have seen successful programs shut down because a different group felt they should be in control."
546,4,Good place to work,Anonymous employee,"Good benefits, Nice campus, my team is great and we get to Work on really cool products that consumers love - Leadership team at PlayStation is getting better, I can see they are making strides to make PlayStation a competitive workplace in the Bay Area","- Career development is a bit unclear, but HR is working on improving - Work/life balance is a struggle - It's discouraging to see employees skate by and slack off get away with it, especially when some of the teams work so hard"
547,3,Manager Programming,Anonymous employee,"If you can find a great team, the experience will be very rewarding. Lots of room to try new things and grow across a spectrum of possibilities.",A bit Aimless. Unless the teams are making a sequel to an existing title there's a lot of waste spent trying to figure out what the next title should be.
548,4,PlayStation product development,Anonymous employee,"Benefits are competitive, bonuses vary but are generally decent, potential for variety of work, dedicated employee base, considered generally prestigious to be employee","Management structure can be nebulous, many silos within company, job security not what it once was as temporary employees more widely used to contain benefit costs, lots of fat in middle management"
549,5,Good Working Environment,Project manager,"SNEI offers good benefits, good salary, casual and amicable atmosphere, opportunities for improvement and training.The company keeps growing and there is a lot of diversity, teams are very helpful.","Work is constant and very aggressive, need improvement on their processes and standards. Need to balance some work, some teams are overworked."
550,3,"Good people, lots of politics",Anonymous employee,Liked the people I worked with. Everyone genuinely wants to do great things but efficient decision making is lacking. Great bonuses. Fun environment.,"Lots of politics in a local and global level. Slow to create progress or make decisions, which almost always bars creativity and great work from being completed. You do the same thing all the time with every program. Pay is far below industry average. A. If culture of fear."
551,1,Waste of time,Supply chain,Nice colleagues to work with Offices in central london Free drinks and free fruit Free Gym,Incredibly disorganized company Blame culture Manager not qualified Heavy workload due to the useless manager not able to take responsability. I was working in a small team of 4 with the manager that was there just to supervising us - not even able to long into the system or to provide training to new starters. Awful experience. Plus the company does not support or value their employees!!! shame on you Sony Playstation
552,4,Decent play to work,Executive assistant,-They hire people you want to work with; they become your family (in a good way) -The company is trying to make it worth a place you want to stay,"-Not every department is equal: some departments are the ""fun"" cool departments and others are the hard gruelling, no work-balance department -There are some lazy people who work here and stay because leadership lacks the ablilty to let go of lazy people"
553,4,PlayStation is just as fun as you would imagine.,Product marketing manager,The culture is very open and everything revolves around the consumer which is something I havent seen in many other companies. The way that management gives freedom to its groups allows for greater creative freedom to develop ideas (always taking into consideration the needs of its consumers),Sony corporate policies can sometimes overshadow the PS irrelevant culture. Bureaucracy and antiquated processes create some major frustrations when it comes to executions.
554,2,Bottom Line,Anonymous employee,"Good people, Fun atmosphere, Flexible environment, Events, Discounts","Low pay No benefits Lack of opportunities to move up - despite their facade of ""attempts"" to promote. Layoffs abound Be prepared to do the job of a higher paying position, without the pay increase, benefits or title."
555,5,Data Scientist,Data scientist,"manages external expectations & adaptable to internal capacity. - Upwards trajectory in terms of culture, projects, outlook",Friends will ask you every week if you can get them a discounted PS55 - Not as quick as a start-up
556,5,Awesome environment!,Anonymous employee,Really relaxed environment with lots of really chill people. Definitely get to see a lot of diversity in the studios - and everyone here has a huge passion for the gaming industry,Little disorganized and frustrating trying to get things through higher corporate levels. Sometimes too many different departments and it can be confusing as to who's in charge of what.
557,3,Great products and fun environment; Lacking Senior Leadership,Marketing,Great products and a total blast to work with the fun people. Good competitive industry full of great smart people.,Lack of direction from Senior Management. Don't take great care of employees as it is a 'privilege' to work there. Not competitive salaries for same reason.
558,3,A place best suited for entry to mid level developers and managers; experienced professionals need not apply,Software engineer,company name recognition; fairly flexible hours outside crunch times; values testing and quality assurance,Crunch times occur often; below average pay rate (common to have salary / bonuses haggled); management changes / reverses design and/or implemenation decisions mid-sprint / mid-project regularly
559,4,SCEA,Anonymous employee,"Motivating work if you have an interest in video games, and especially in PlayStation itself. People are friendly, and there is opportunity for growth.",Compensation seems lower than other companies in the computer entertainment industry. There are some organizational silos between groups. Each group looks after holding its own interest instead of working as a whole.
560,5,Best Job I've ever had!,Network engineer,"Great work environment, interesting work, cool people... Lots of training, good budget for gear. Management is competent. Results oriented.","None. Anything negative I might say would be petty. I guess you could say that we have more work than we could possibly do (and we do) but the management knows this, and doesn't make people work themselves to death to do the impossible. They set priorities. But there's just not enough time in the day!"
561,3,"Pay is good, culture could be better",Anonymous employee,"The pay and benefits are good. Free games, discounts on other Sony stuff. Good amount of PTO. Coworkers are nice and helpful.",Management does not communicate well. Sometimes unsure of expectations. Not sure of what is important. Supervisor is secretive and sneaky. Not trustworthy or helpful when problems come up.
562,1,Serious managerial issues,Technical architect,It's a gaming company and there are quite a few perks that go with that like relaxed social atmosphere and dress code,Management is very confused and out of touch and manage the company through a series of disparate fiefdoms without aligned goals or a cohesive strategy.
563,4,"Good Company Culture, but...",Principal software engineer,Great company and good culture,"However, there are some really bad managers who makes it deliberately difficult for everyone that are working under them and with them. Some notable mentions are perfeng and cicd team managers, for their awful and confrontational management style."
564,1,Treated like garbage.,Qa professional,It's an easy job. It is considered experience in the video game field. Casual dress.,"This is only as a QA tester. Intimidated into working overtime. It was alluded to that you would lose your job if you opt out (which I did after 6 straight months of doing it). Overtime was, and is common to be 12 hours a day 6 days a week and an 8 hour shift on Sundays. I was diagnosed with carpal tunnel issues in both of my wrists due to this overtime but was still asked to do the overtime as soon as the doctor released me."
565,4,"Fun enviroment, ok management",Senior department assistant,Social dynamic is great. Office atmosphere is casual. Compensation is good. In San Diego location you can bring dogs on campus. The company has a operates like a startup without budget issues.,No direction from uppen management. Very difficult to be promoted within the company. No good direction for improvement. Entry to mid level employees are hardly noticed
566,5,Awesome place to work,Anonymous employee,"The benefits are good. The San Diego campus is easy to get to and in a great location commute-wise. When you speak up, your direct management will listen. Management makes an effort to help push you forward with your own career goals in mind.",Needs more accountability on the individual scale. People hurt productivity by not understanding their own roles better in the development process.
567,4,Great company and workforce - needs better focus on opportunity advancement and resourcing,Senior software development engineer in test (sdet),"Fun things to work on Work/Life Balance Highly skilled individuals Equipment, office, and general community is very strong","Resourcing is always a problem in satellite offices Satellite offices have drastically reduced compensation for similar work Politics Bonus structure used as ""motivation"" to work extra hours"
568,3,Has its highs and lows,Anonymous employee,It's an awesome brand to be a part of. You can find some great people here and have the opportunity to be a part of some very cool projects.,"Career paths and growth potential feel near non-existant, employees feel out of the loop and unfortunately often unappreciated. It does sometimes feel like they depend on the brand name to bring in top-talent, but it doesn't seem that top-talent stay very long. Some departments are in need of a complete overhaul from a talent perspective."
569,4,"Smart people, hard work",Anonymous employee,Benefits are decent and the pay is around or above market value for the area. Most employees are pretty friendly and laid back. Work is interesting and challenging. Management is pretty tech savvy.,Not too much interaction between different teams. Most people don't know what other teams are working on. Management structure is pretty flat so there is little room for career progression.
570,4,Love my job,Anonymous employee,"Fast-paced, works like a startup, working with newest technologies and building a lot of new applications and processes. Open to innovation. Very nice people. Small enough, yet solving big problems. Great product. Pays well",Some political vestiges of old regimes and people not understanding that we need to move forward and quickly. Some silo mentality that blocks quick implementation and execution
571,3,Harboring incompitence,Producer,You don't have to worry about getting fired. They operate like a studio instead of a technology company so it's easy to get up to speed.,Good Ideas never see the light of day and bad Ideas never get killed. Japanese culture instills a process of conscious which is extremely detrimental in a technology company. No one is given decision making power.
572,4,Overall a very good company to work for.,Anonymous employee,"People are friendly, easy going and motivated. I see this when we have people volunteer for a flash mob dance at a recent event and also during a habitat for humanity outside the country. Everyone is also focused on the department goals and work in general.",For my department. No to little upward mobility and one has to check positions from other department although management has implemented some exposure (i.e. shadowing people) to other departments and other positions.
573,1,Worst place to work for. Promote office bullies across the entire sales department.,Anonymous employee,Free coffee and milk. Free food and old games ocassionally.,"Salaries are not competitive, and much lower than other companies in the area. Career advancement is driven by favorism, not ability, performance, or hardwork. Managers and directors abuse their power, bully, and mistreat employees. Their behaviors are unprofessional and immature like high school bulliers than working professionals. People do nothing due to fear for their career. Many support or even copy these behaviors creating toxic work environment across the entire sales department."
574,5,Awesome Place to Work,Anonymous employee,"Always something new and exciting. Opportunity to work with awesome people, work in a true multinational corporation. Opportunity to learn lots of new technologies and work on diverse products. Always popular when find out you work at Playstation. Always learning. Amazing benefits.",With a full multinational company its never truly asleep to learning to adapt to an environment that follows the sun takes time. Sometimes takes a bit longer to reach consensus .
575,4,Decent company with fun end products,Manager,"Benefits are good, and some of the people are great.","Employee experience will differ greatly between work units. Company as a whole does not function as a single unit, but rather many different companies with no real common goal or direction. Most support groups have the sell their services to internal groups. Egos run big in this company. Have seen successful programs shut down because a different group felt they should be in control."
576,4,Good place to work,Anonymous employee,"Good benefits, Nice campus, my team is great and we get to Work on really cool products that consumers love - Leadership team at PlayStation is getting better, I can see they are making strides to make PlayStation a competitive workplace in the Bay Area","Career development is a bit unclear, but HR is working on improving - Work/life balance is a struggle - It's discouraging to see employees skate by and slack off get away with it, especially when some of the teams work so hard"
577,3,Manager Programming,Anonymous employee,"If you can find a great team, the experience will be very rewarding. Lots of room to try new things and grow across a spectrum of possibilities.",A bit Aimless. Unless the teams are making a sequel to an existing title there's a lot of waste spent trying to figure out what the next title should be.
578,4,PlayStation product development,Anonymous employee,"Benefits are competitive, bonuses vary but are generally decent, potential for variety of work, dedicated employee base, considered generally prestigious to be employee","Management structure can be nebulous, many silos within company, job security not what it once was as temporary employees more widely used to contain benefit costs, lots of fat in middle management"
579,5,Good Working Environment,Project manager,"SNEI offers good benefits, good salary, casual and amicable atmosphere, opportunities for improvement and training.The company keeps growing and there is a lot of diversity, teams are very helpful.","Work is constant and very aggressive, need improvement on their processes and standards. Need to balance some work, some teams are overworked."
580,3,"Good people, lots of politics",Anonymous employee,Liked the people I worked with. Everyone genuinely wants to do great things but efficient decision making is lacking. Great bonuses. Fun environment.,"Lots of politics in a local and global level. Slow to create progress or make decisions, which almost always bars creativity and great work from being completed. You do the same thing all the time with every program. Pay is far below industry average. A. If culture of fear."
581,3,Looks good on resume,Developer relations account manager,It is a good name to have on your resume. You will add substantially to your network. Good facilities.,Poisonous environments where departments are fighting turf wars against each other. Little to no leadership Initiative is not rewarded nor encouraged. Sony is very much a sinking ship living on past glories.
582,3,A Good Experience,Specialist,"Great perks, beautiful headquarters, people are open, genuine, and helpful. Best part is working on so many great titles and the pride that comes with it.",It's such a big company that it's very difficult to advance. Growth comes to a halt and skills are only relevant to role that you get pigeonholed into.
583,2,Great People. Horrible Senior Management.,Senior software engineer,The people and culture are great. Discounts on most Sony products. Great place to start your career.,"I stay because not all the senior management is bad, but SNEI has some of the worst senior managers ever. Big egos, no direction, no planning, public ridicule, micro micro micro management."
584,3,Friendly Environment But Lack of Opportunities to Progress,Anonymous employee,Friendly environment to work in. Good pension and healthcare. Social aspect can be great and have made many friends over the years working there.,Not many opportunities to progress. Very little training given. No room to move around in the company as people tend to stay in the positions for a long time.
585,5,TV Intern,Anonymous employee,"Great exposure to the company's senior leadership and the larger technology, media and entertainment industry. Great work life balance and fun events keep you engaged throughout and ensure that you mingle and learn as much from cross functional teams as your own.",I cannot think of any cons that are of critical importance for anyone who is considering working at Sony. All I can say is that you as an intern must also be as proactive in learning as much during your term.
586,2,Operations,Anonymous employee,Whimsical and creative production environment.,"Still has an antiquated ""top down"" management approach. Confining structure and to stodgy for the bay area. Questionable ethical behavior among some senior management folk. No stock options or RSUs."
587,4,Good autonomy for a corporation,Anonymous employee,"Friendly place, good tech, interesting ideas depending on team, not too hung up on process, but there is some, it is a large corporation.","Things can move slowly, bean counter now running London office. pay can be lower as they are SONY :)"
588,3,Good brand with average growth,Senior developer,Lots of parties Work from home option (1-2 times/ week) not lot of work pressure except holiday season,No clear road map for technology Teams are spread over different places Outstanding performance has no relevance to promotion Promotions are backfill based on if someone in management leaves the company Salaries are bay area average No carpool benefit or company bus for commute
589,3,A lot of amazing people to work with but pay very poorly,Advanced engineer,A lot of amazing and smart people A lot of interesting technology to work on,Really bad pay compared to other companies You rarely will be doing R&D work. Salary bonus is a joke. Most of the time people get 4% of salary bonus
